filename,filedate,filesize,disk,basedir,uri
IT Quick Start Guide-2018-07-11.pdf,20180716-16:11:08,709840,c:,MARL2019,work\marvell
LASTNAME_FY2020_Q1_FAE_KSO_Template_DDMMMYYYY - Copy.xlsx,20190318-10:54:27,26348,c:,MARL2019,work\marvell\KSO
SHANPING_FY2020_Q1_FAE_KSO_20032019.xlsx,20190319-14:13:21,27460,c:,MARL2019,work\marvell\KSO
SHANPING_YI_FY2020_Q1_FAE_KSO_20MAR2019.xlsx,20190322-12:18:21,27431,c:,MARL2019,work\marvell\KSO
01212019_CN96XX_Status_Update1.pptx,20190130-22:53:41,3348512,c:,MARL2019,work\marvell\marketing
12132018_IPBU_PLU_vF2.pptx,20181228-15:48:56,4336089,c:,MARL2019,work\marvell\marketing
93xx_Tutorial_20181105b.pptx,20190410-14:42:49,1830426,c:,MARL2019,work\marvell\marketing
96xx VS 83xx.png,20181107-09:41:31,249233,c:,MARL2019,work\marvell\marketing
A37xx_Marketing_Slides_17.06_v1.3 with benchmark.pptx,20190320-12:36:57,3121813,c:,MARL2019,work\marvell\marketing
A38X.jpg,20190319-09:43:21,61320,c:,MARL2019,work\marvell\marketing
ARMADA_A38x_Marketing_Slides_17.06_v1.27_with benchmark.pptx,20190320-12:36:57,1830742,c:,MARL2019,work\marvell\marketing
armV8 exception.ppt,20181226-17:45:19,2492416,c:,MARL2019,work\marvell\marketing
CN83XXvsCN73XX.png,20181219-06:24:58,145874,c:,MARL2019,work\marvell\marketing
CN83xx_cn9130_price.msg,20181219-21:15:29,259584,c:,MARL2019,work\marvell\marketing
CN9670 and CN7890 Comparison 09-24-2018.pdf,20180927-12:40:49,162232,c:,MARL2019,work\marvell\marketing
"Greater China FAE Team Building on Dec, 2018.pdf",20181123-16:32:26,4123681,c:,MARL2019,work\marvell\marketing
marvell_processor_update.pptx,20181226-17:31:49,9106980,c:,MARL2019,work\marvell\marketing
NXP_LS2vsOCTEONTX.png,20181219-12:41:03,93863,c:,MARL2019,work\marvell\marketing
OCTEON Roadmap update to H3C SR88.pdf,20181224-15:28:37,1012303,c:,MARL2019,work\marvell\marketing
OCTEONTX&TX2.pptx,20181220-16:17:23,582430,c:,MARL2019,work\marvell\marketing
OCTEONTX2-Core-Primer-Mukherjee.pptx,20181108-11:26:56,1808084,c:,MARL2019,work\marvell\marketing
OCTEONTX_TX2.png,20181219-12:46:36,156927,c:,MARL2019,work\marvell\marketing
Marvell EC Questionnaire Printable.doc,20180713-06:40:38,69120,c:,MARL2019,work\marvell
Marvell+PowerPoint+Template+2018-07.pptx,20180724-10:25:24,277697,c:,MARL2019,work\marvell
marvell.txt,20190325-08:03:05,4872,c:,MARL2019,work\marvell
Cavium transferred employees_Confidential Information and Invention Disc....pdf,20181031-16:24:30,76165,c:,MARL2019,work\marvell\onboard
Marvell 入职须知（北京）.pdf,20171129-10:52:02,203135,c:,MARL2019,work\marvell\onboard
个人住房公积金帐户转移表.doc,20170901-15:05:58,87552,c:,MARL2019,work\marvell\onboard
入职材料.pdf,20181101-15:19:35,3993091,c:,MARL2019,work\marvell\onboard
2019_Employee_Assessment_Fusion_Quick_Start_Guide_v3.pdf,20181217-17:20:53,571023,c:,MARL2019,work\marvell\pmp2018
pmp.pdf,20181217-18:57:26,16411,c:,MARL2019,work\marvell\pmp2018
PMP.png,20181217-17:40:00,59126,c:,MARL2019,work\marvell\pmp2018
PMP.txt,20181217-18:52:56,2767,c:,MARL2019,work\marvell\pmp2018
PMP2.png,20181217-17:41:25,83372,c:,MARL2019,work\marvell\pmp2018
PMP3.png,20181217-17:42:52,64760,c:,MARL2019,work\marvell\pmp2018
Quick Start Guide-June28.docx,20180704-13:52:50,106875,c:,MARL2019,work\marvell
Re EDA tool application.msg,20190123-17:26:19,153088,c:,MARL2019,work\marvell
Shanping.Yi.pptx,20180815-07:08:21,280133,c:,MARL2019,work\marvell
WCMP 062618.pdf,20180716-14:39:17,445036,c:,MARL2019,work\marvell
WCMP Acknowledgement Printable.docx,20180713-07:05:32,11760,c:,MARL2019,work\marvell
xHCI controller hanged .msg,20181219-21:25:55,130048,c:,MARL2019,work\marvell
"Yi,_Shanping-2019_Emloyee_Statement.pdf",20190404-14:13:28,12982,c:,MARL2019,work\marvell
2018Health Screening Notification(2018年度健康检查通知).msg,20181209-07:53:08,157696,c:,MARL2019,work\marvell\平安
FW 平安保险加保.msg,20181218-08:57:57,111616,c:,MARL2019,work\marvell\平安
Scan易怀宇.pdf,20181218-09:02:38,453176,c:,MARL2019,work\marvell\平安
Scan易怀远.pdf,20181218-09:04:49,455939,c:,MARL2019,work\marvell\平安
Scan结婚证.pdf,20181218-09:00:50,196166,c:,MARL2019,work\marvell\平安
